Wavelength nm.,alpha
200,8.60468539
202,#NUM!
204,#NUM!
206,#NUM!
208,#NUM!
210,#NUM!
212,#NUM!
214,#NUM!
216,#NUM!
218,#NUM!
220,#NUM!
222,#NUM!
224,#NUM!
226,9.40891947
228,#NUM!
230,#NUM!
232,#NUM!
234,#NUM!
236,#NUM!
238,#NUM!
240,#NUM!
242,#NUM!
244,#NUM!
246,#NUM!
248,#NUM!
250,#NUM!
252,#NUM!
254,#NUM!
256,#NUM!
258,#NUM!
260,#NUM!
262,#NUM!
264,#NUM!
266,#NUM!
268,#NUM!
270,#NUM!
272,#NUM!
274,#NUM!
276,#NUM!
278,#NUM!
280,#NUM!
282,#NUM!
284,#NUM!
286,9.40891947
288,8.459390901
290,8.60468539
292,8.3952567
294,8.493409229
296,10.22627718
298,#NUM!
300,#NUM!
302,#NUM!
304,#NUM!
306,#NUM!
308,#NUM!
310,#NUM!
312,#NUM!
314,#DIV/0!
316,9.143541361
318,#NUM!
320,#NUM!
322,9.64865453
324,7.88176825
326,7.98829606
328,#NUM!
330,#NUM!
332,#NUM!
334,#NUM!
336,#NUM!
338,#NUM!
340,#NUM!
342,#NUM!
344,#NUM!
346,#NUM!
348,#NUM!
350,#NUM!
352,#NUM!
354,#NUM!
356,#NUM!
358,#NUM!
360,#NUM!
362,#NUM!
364,#NUM!
366,#NUM!
368,#NUM!
370,#NUM!
372,#NUM!
374,#NUM!
376,#NUM!
378,#NUM!
380,#NUM!
382,#NUM!
384,#NUM!
386,#NUM!
388,#NUM!
390,#NUM!
392,#NUM!
394,#NUM!
396,#NUM!
398,#NUM!
400,#NUM!
402,#NUM!
404,#NUM!
406,#NUM!
408,#NUM!
410,#NUM!
412,#NUM!
414,#NUM!
416,#NUM!
418,#NUM!
420,#NUM!
422,#NUM!
424,#NUM!
426,#NUM!
428,#NUM!
430,#NUM!
432,#NUM!
434,#NUM!
436,#NUM!
438,#NUM!
440,#NUM!
442,#NUM!
444,#NUM!
446,#NUM!
448,#NUM!
450,#NUM!
452,#NUM!
454,#NUM!
456,#NUM!
458,#NUM!
460,#NUM!
462,#NUM!
464,#NUM!
466,#NUM!
468,#NUM!
470,#NUM!
472,#NUM!
474,#NUM!
476,#NUM!
478,#NUM!
480,#NUM!
482,#NUM!
484,#NUM!
486,#NUM!
488,#NUM!
490,#NUM!
492,#NUM!
494,#NUM!
496,#NUM!
498,#NUM!
500,#NUM!
502,#NUM!
504,#NUM!
506,#NUM!
508,#NUM!
510,#NUM!
512,#NUM!
514,#NUM!
516,#NUM!
518,#NUM!
520,#NUM!
522,#NUM!
524,#NUM!
526,#NUM!
528,#NUM!
530,#NUM!
532,#NUM!
534,#NUM!
536,#NUM!
538,#NUM!
540,#NUM!
542,#NUM!
544,#NUM!
546,#NUM!
548,#NUM!
550,7.511196732
552,8.027062739
554,8.110465622
556,#NUM!
558,#NUM!
560,#NUM!
562,#NUM!
564,#NUM!
566,#NUM!
568,#NUM!
570,#NUM!
572,#NUM!
574,#NUM!
576,#NUM!
578,#NUM!
580,#NUM!
582,#NUM!
584,#NUM!
586,#NUM!
588,#NUM!
590,10.22627718
592,8.203153651
594,8.203153651
596,8.36495033
598,7.951252924
600,7.689175149
602,7.716059201
604,7.849084323
606,7.637876905
608,7.279513265
610,7.577898989
612,8.335707563
614,8.88507892
616,8.459390901
618,#NUM!
620,#NUM!
622,#NUM!
624,#NUM!
626,9.07103188
628,#NUM!
630,#NUM!
632,#NUM!
634,#NUM!
636,#NUM!
638,#NUM!
640,#NUM!
642,#NUM!
644,8.110465622
646,#NUM!
648,8.280131418
650,#NUM!
652,#NUM!
654,#NUM!
656,7.613365334
658,8.22803112
660,7.98829606
662,#NUM!
664,#NUM!
666,11.14178742
668,9.143541361
670,#NUM!
672,#NUM!
674,#NUM!
676,#NUM!
678,#NUM!
680,11.14178742
682,#NUM!
684,8.780776301
686,8.22803112
688,7.65040847
690,7.3041456
692,7.054058439
694,6.876792578
696,6.63955627
698,6.419765181
700,6.180751309
702,5.979782929
704,5.815189827
706,5.610739062
708,5.477767656
710,5.31810977
712,5.167329074
714,5.033116412
716,4.892268013
718,4.766646837
720,4.626764139
722,4.496343385
724,4.38334842
726,4.286755397
728,4.189619354
730,4.09622135
732,4.011442501
734,3.926354815
736,3.84219432
738,3.761949094
740,3.686149609
742,3.612294447
744,3.543357898
746,3.474458289
748,3.410588992
750,3.348587476
752,3.28798387
754,3.23029701
756,3.174524493
758,3.11916993
760,3.067212794
762,3.017235867
764,2.969306878
766,2.922682471
768,2.879311288
770,2.836010984
772,2.794775445
774,2.753109172
776,2.714136541
778,2.674807997
780,2.637745245
782,2.601286656
784,2.566950905
786,2.532750249
788,2.500812958
790,2.468342317
792,2.437768269
794,2.407177025
796,2.377827064
798,2.349410304
800,2.322057311
802,2.294531645
804,2.269034019
806,2.243909036
808,2.219388832
810,2.195895998
812,2.173647636
814,2.151375759
816,2.130739865
818,2.109097498
820,2.088242093
822,2.072075683
824,2.05240585
826,2.033398556
828,2.016129919
830,1.999512783
832,1.983473545
834,1.968952068
836,1.954176971
838,1.939859379
840,1.926164138
842,1.912961562
844,1.899303835
846,1.886692045
848,1.875267742
850,1.863863964
852,1.852974675
854,1.842760006
856,1.833114933
858,1.823313369
860,1.814107467
862,1.805092942
864,1.796826395
866,1.788463027
868,1.780281902
870,1.772540415
872,1.765281235
874,1.757902409
876,1.750641501
878,1.743896656
880,1.737498934
882,1.731149955
884,1.724807753
886,1.719076259
888,1.713465253
890,1.707922074
892,1.702666402
894,1.697693055
896,1.692600458
898,1.687243162
900,1.682468501
902,1.677350977
904,1.672303398
906,1.667411271
908,1.663064362
910,1.658492492
912,1.654466398
914,1.651119825
916,1.647655091
918,1.644419933
920,1.641383767
922,1.638061355
924,1.634585632
926,1.631695622
928,1.628494169
930,1.625259236
932,1.622492489
934,1.619644044
936,1.616832464
938,1.614373318
940,1.611894405
942,1.609252352
944,1.606761766
946,1.604733592
948,1.60244332
950,1.600177075
952,1.598164845
954,1.596095637
956,1.593467907
958,1.591357623
960,1.589165078
962,1.586925874
964,1.584997638
966,1.583126025
968,1.581111127
970,1.579516562
972,1.577700399
974,1.575845085
976,1.57393369
978,1.572078153
980,1.57008976
982,1.56822567
984,1.56626348
986,1.564705553
988,1.563286375
990,1.561471313
992,1.559888485
994,1.558274898
996,1.556841343
998,1.555334556
1000,1.553712965
1002,1.55236265
1004,1.550880662
1006,1.549167522
1008,1.547232989
1010,1.546067767
1012,1.544538806
1014,1.542855211
1016,1.540902195
1018,1.539448683
1020,1.53761065
1022,1.535850601
1024,1.534487885
1026,1.53336491
1028,1.531687368
1030,1.530478359
1032,1.529328163
1034,1.528073732
1036,1.52641492
1038,1.525335214
1040,1.523779006
1042,1.522072142
1044,1.520457483
1046,1.51900696
1048,1.517350009
1050,1.515592099
1052,1.514286104
1054,1.512902221
1056,1.511432863
1058,1.509862558
1060,1.508676828
1062,1.506849812
1064,1.505319792
1066,1.503776765
1068,1.502481248
1070,1.500793779
1072,1.499408511
1074,1.497727246
1076,1.496378404
1078,1.494570306
1080,1.493132891
1082,1.49142528
1084,1.489845545
1086,1.487710275
1088,1.485928605
1090,1.484081244
1092,1.48263867
1094,1.480837033
1096,1.479292578
1098,1.477597743
1100,1.47582225
1102,1.474050532
1104,1.472244512
1106,1.470404419
1108,1.468697227
1110,1.467023783
1112,1.465255556
1114,1.46329525
1116,1.461399651
1118,1.459433392
1120,1.457606382
1122,1.455574425
1124,1.453703733
1126,1.451829803
1128,1.449997135
1130,1.447820981
1132,1.445562023
1134,1.443603317
1136,1.441759277
1138,1.43963378
1140,1.437849622
1142,1.435828782
1144,1.433638393
1146,1.431410257
1148,1.429224207
1150,1.426813182
1152,1.424746991
1154,1.422650048
1156,1.420522598
1158,1.418457653
1160,1.416212748
1162,1.413995168
1164,1.411910912
1166,1.40950703
1168,1.407257911
1170,1.405295777
1172,1.40338731
1174,1.401077742
1176,1.398816378
1178,1.396588938
1180,1.394097096
1182,1.391460674
1184,1.38897032
1186,1.386748399
1188,1.384203575
1190,1.381618703
1192,1.379089471
1194,1.376819029
1196,1.374182486
1198,1.371736413
1200,1.369270589
1202,1.366724848
1204,1.363772409
1206,1.361316677
1208,1.358230599
1210,1.355308049
1212,1.352375936
1214,1.349900928
1216,1.346935349
1218,1.344541726
1220,1.341614647
1222,1.338879412
1224,1.335687763
1226,1.332501854
1228,1.329353729
1230,1.326613636
1232,1.32340486
1234,1.320525585
1236,1.317517124
1238,1.314456492
1240,1.31114351
1242,1.308049896
1244,1.304581698
1246,1.301233264
1248,1.297737694
1250,1.294656452
1252,1.291188304
1254,1.287996881
1256,1.284726455
1258,1.281456705
1260,1.277874133
1262,1.274733199
1264,1.271089656
1266,1.267682287
1268,1.264128672
1270,1.260590146
1272,1.256943116
1274,1.253674965
1276,1.250349587
1278,1.246932862
1280,1.24349538
1282,1.24012387
1284,1.236519235
1286,1.232861585
1288,1.229174427
1290,1.225469545
1292,1.221713431
1294,1.218047109
1296,1.21422369
1298,1.210512252
1300,1.206612474
1302,1.202516051
1304,1.198406785
1306,1.194639491
1308,1.190666512
1310,1.186939376
1312,1.182852233
1314,1.178902804
1316,1.174710964
1318,1.170402318
1320,1.166042032
1322,1.161861777
1324,1.157524963
1326,1.153049702
1328,1.148944284
1330,1.144699697
1332,1.14059932
1334,1.136554636
1336,1.132413033
1338,1.1281559
1340,1.123775081
1342,1.11938228
1344,1.114977807
1346,1.110522513
1348,1.106184121
1350,1.101590046
1352,1.097084242
1354,1.092419274
1356,1.087895456
1358,1.083076288
1360,1.078602771
1362,1.073832172
1364,1.069384403
1366,1.064960248
1368,1.060740617
1370,1.056477536
1372,1.052286737
1374,1.047952195
1376,1.043571815
1378,1.039182651
1380,1.034893044
1382,1.03059404
1384,1.026000666
1386,1.021467926
1388,1.016717309
1390,1.012019911
1392,1.007501364
1394,1.003124231
1396,0.99866647
1398,0.994476955
1400,0.990069358
1402,0.98566797
1404,0.981125017
1406,0.976459726
1408,0.971870515
1410,0.967252452
1412,0.962486406
1414,0.958071864
1416,0.95363156
1418,0.949064446
