Wavelength nm.,alpha
200,#NUM!
202,#NUM!
204,#NUM!
206,8.724120813
208,#NUM!
210,#NUM!
212,#NUM!
214,#NUM!
216,#NUM!
218,#NUM!
220,#NUM!
222,#NUM!
224,#NUM!
226,#NUM!
228,#NUM!
230,#NUM!
232,#NUM!
234,#NUM!
236,#NUM!
238,#NUM!
240,#NUM!
242,#NUM!
244,#NUM!
246,#NUM!
248,#NUM!
250,#NUM!
252,#NUM!
254,#NUM!
256,#NUM!
258,#NUM!
260,#NUM!
262,#NUM!
264,#NUM!
266,#NUM!
268,#NUM!
270,#NUM!
272,#NUM!
274,#NUM!
276,11.13276394
278,8.556895233
280,9.134517883
282,#NUM!
284,#NUM!
286,#NUM!
288,#NUM!
290,#NUM!
292,#NUM!
294,#NUM!
296,#NUM!
298,#NUM!
300,#NUM!
302,#NUM!
304,9.639631053
306,#NUM!
308,#NUM!
310,#NUM!
312,8.355926852
314,#NUM!
316,#NUM!
318,#NUM!
320,#NUM!
322,8.123665684
324,8.219007643
326,9.511172153
328,#NUM!
330,#NUM!
332,#NUM!
334,7.840060845
336,8.123665684
338,#NUM!
340,#NUM!
342,#NUM!
344,#NUM!
346,#NUM!
348,#NUM!
350,#NUM!
352,#NUM!
354,#NUM!
356,#NUM!
358,#NUM!
360,#NUM!
362,#NUM!
364,#NUM!
366,#NUM!
368,#NUM!
370,8.679064795
372,#NUM!
374,#NUM!
376,#NUM!
378,#NUM!
380,#NUM!
382,#NUM!
384,#NUM!
386,#NUM!
388,#NUM!
390,#NUM!
392,#NUM!
394,#NUM!
396,#NUM!
398,#NUM!
400,#NUM!
402,#NUM!
404,#NUM!
406,#NUM!
408,#NUM!
410,#NUM!
412,#NUM!
414,#NUM!
416,#NUM!
418,#NUM!
420,#NUM!
422,#NUM!
424,#NUM!
426,#NUM!
428,#NUM!
430,#NUM!
432,#NUM!
434,#NUM!
436,#NUM!
438,#NUM!
440,#NUM!
442,#NUM!
444,#NUM!
446,#NUM!
448,#NUM!
450,#NUM!
452,#NUM!
454,#NUM!
456,#NUM!
458,#NUM!
460,#NUM!
462,#NUM!
464,#NUM!
466,#NUM!
468,#NUM!
470,#NUM!
472,#NUM!
474,#NUM!
476,#NUM!
478,#NUM!
480,#NUM!
482,#NUM!
484,#NUM!
486,#NUM!
488,#NUM!
490,#NUM!
492,#NUM!
494,#NUM!
496,#NUM!
498,#NUM!
500,#NUM!
502,#NUM!
504,#NUM!
506,#NUM!
508,#NUM!
510,#NUM!
512,#NUM!
514,#NUM!
516,#NUM!
518,#NUM!
520,#NUM!
522,#NUM!
524,#NUM!
526,#NUM!
528,#NUM!
530,#NUM!
532,#NUM!
534,#NUM!
536,#NUM!
538,#NUM!
540,#NUM!
542,#NUM!
544,#NUM!
546,#NUM!
548,#NUM!
550,#NUM!
552,#NUM!
554,#NUM!
556,#NUM!
558,9.213943033
560,#NUM!
562,#NUM!
564,#NUM!
566,#NUM!
568,9.062008403
570,#NUM!
572,#NUM!
574,#NUM!
576,#NUM!
578,#NUM!
580,#NUM!
582,#NUM!
584,#NUM!
586,#NUM!
588,#NUM!
590,#DIV/0!
592,8.219007643
594,8.038120555
596,7.778304202
598,7.924307609
600,7.628853428
602,7.763554554
604,7.808610572
606,8.933549503
608,8.484385752
610,7.960545203
612,7.592351242
614,7.734816074
616,9.511172153
618,#NUM!
620,#NUM!
622,#NUM!
624,#NUM!
626,#NUM!
628,#NUM!
630,#NUM!
632,#NUM!
634,#NUM!
636,9.639631053
638,#NUM!
640,8.079795906
642,8.595661913
644,7.778304202
646,#NUM!
648,8.450367423
650,#NUM!
652,10.55514129
654,9.213943033
656,#NUM!
658,7.808610572
660,8.724120813
662,7.440416612
664,9.062008403
666,#NUM!
668,#NUM!
670,#NUM!
672,#NUM!
674,#NUM!
676,#NUM!
678,#NUM!
680,#NUM!
682,8.933549503
684,8.876055443
686,9.511172153
688,9.791565684
690,#NUM!
692,#NUM!
694,#NUM!
696,#NUM!
698,#NUM!
700,10.2172537
702,#NUM!
704,#NUM!
706,#NUM!
708,#NUM!
710,8.355926852
712,8.018039262
714,8.123665684
716,7.924307609
718,8.194130174
720,7.512926093
722,7.303497402
724,7.28683018
726,7.122610315
728,7.002908063
730,6.862793961
732,6.738597645
734,6.611972263
736,6.449096556
738,6.318053675
740,6.167410033
742,6.010822896
744,5.872984936
746,5.754743112
748,5.620492611
750,5.507821283
752,5.405127416
754,5.292342959
756,5.177120461
758,5.068390839
760,4.972737638
762,4.871794323
764,4.781359778
766,4.68985392
768,4.606416214
770,4.518582703
772,4.439401182
774,4.35501906
776,4.28108358
778,4.205575589
780,4.133338818
782,4.060657463
784,3.99016975
786,3.914730781
788,3.844098666
790,3.772882331
792,3.705141828
794,3.640521686
796,3.581810556
798,3.520109195
800,3.462076285
802,3.401799323
804,3.343334088
806,3.283749872
808,3.228776263
810,3.173522973
812,3.122932729
814,3.071297383
816,3.02252731
818,2.969604797
820,2.918314864
822,2.87218475
824,2.823942864
826,2.776867338
828,2.732693593
830,2.691009725
832,2.649508583
834,2.607659044
836,2.566780192
838,2.527922463
840,2.488187959
842,2.450735051
844,2.414416414
846,2.378358366
848,2.342898678
850,2.308802478
852,2.276410153
854,2.245210517
856,2.214292916
858,2.183812486
860,2.154163476
862,2.124876204
864,2.094616144
866,2.066200854
868,2.037887831
870,2.010152993
872,1.982147276
874,1.956055467
876,1.929169888
878,1.904041433
880,1.878883586
882,1.854670004
884,1.830702301
886,1.807312677
888,1.784281865
890,1.762208225
892,1.740014224
894,1.71780688
896,1.695763354
898,1.673337271
900,1.650650142
902,1.628434379
904,1.606650837
906,1.586198269
908,1.566140924
910,1.546538185
912,1.526966805
914,1.508447073
916,1.489457562
918,1.471144709
920,1.453466368
922,1.436450084
924,1.419290362
926,1.402752917
928,1.386426202
930,1.370563053
932,1.354809081
934,1.338875184
936,1.323671506
938,1.308544225
940,1.293469306
942,1.27843049
944,1.264311546
946,1.24969108
948,1.235786094
950,1.221995339
952,1.208709484
954,1.19540026
956,1.182566559
958,1.169590294
960,1.156791915
962,1.144036604
964,1.131754813
966,1.119560686
968,1.107542426
970,1.095557914
972,1.083825391
974,1.071794014
976,1.060102791
978,1.048652005
980,1.037703543
982,1.02684295
984,1.016353586
986,1.005880284
988,0.995628182
990,0.985084571
992,0.974863312
994,0.964933335
996,0.954996185
998,0.94452638
1000,0.934795925
1002,0.924906423
1004,0.914829325
1006,0.905012865
1008,0.895749787
1010,0.886546628
1012,0.877447767
1014,0.868335333
1016,0.85931409
1018,0.85058286
1020,0.841797703
1022,0.833240007
1024,0.825119648
1026,0.81702507
1028,0.808872974
1030,0.800707038
1032,0.792582899
1034,0.784533827
1036,0.776635223
1038,0.768953054
1040,0.76139024
1042,0.754025441
1044,0.746473897
1046,0.739188101
1048,0.732054084
1050,0.724829971
1052,0.717804859
1054,0.711156395
1056,0.704379865
1058,0.697551688
1060,0.69120992
1062,0.684679755
1064,0.678330944
1066,0.672018353
1068,0.66605732
1070,0.659572566
1072,0.653451816
1074,0.647135513
1076,0.641255549
1078,0.634968686
1080,0.629173652
1082,0.623210263
1084,0.617532012
1086,0.611536001
1088,0.605852132
1090,0.599947383
1092,0.59462355
1094,0.588853533
1096,0.583496577
1098,0.578176469
1100,0.573007802
1102,0.567499351
1104,0.562419527
1106,0.556849554
1108,0.551464382
1110,0.546227757
1112,0.541031385
1114,0.53572964
1116,0.531018324
1118,0.526249413
1120,0.521394539
1122,0.516626451
1124,0.511985149
1126,0.507517032
1128,0.502918837
1130,0.498506116
1132,0.49397627
1134,0.489783296
1136,0.485163955
1138,0.480621582
1140,0.476304104
1142,0.472108517
1144,0.467629648
1146,0.463472813
1148,0.45959224
1150,0.455595604
1152,0.451599957
1154,0.447857431
1156,0.443974796
1158,0.440027662
